1 , b1 , g12 , gift121
28 , b11 , g11 , gift2
29 , b11 , g11 , gift197
30 , b11 , g11 , gift27
31 , b11 , g11 , gift41
32 , b11 , g11 , gift22
33 , b11 , g11 , gift126
34 , b11 , g11 , gift188
35 , b11 , g11 , gift125
36 , b11 , g11 , gift100
37 , b11 , g11 , gift99
38 , b11 , g11 , gift198
39 , b11 , g11 , gift161
40 , b11 , g11 , gift134
41 , b11 , g11 , gift189
42 , b11 , g11 , gift80
43 , b11 , g11 , gift152
44 , b11 , g11 , gift20
45 , b11 , g11 , gift60
46 , b11 , g11 , gift10
47 , b11 , g11 , gift18
48 , b11 , g11 , gift178
49 , b11 , g11 , gift177
50 , b11 , g11 , gift74
51 , b11 , g11 , gift151
52 , b11 , g11 , gift16
1 , b12 , g13 , gift121
2 , b12 , g13 , gift111
3 , b12 , g13 , gift174
4 , b12 , g13 , gift150
5 , b12 , g13 , gift24
6 , b12 , g13 , gift79
7 , b12 , g13 , gift29
8 , b12 , g13 , gift103
9 , b12 , g13 , gift25
10 , b12 , g13 , gift194
11 , b12 , g13 , gift37
12 , b12 , g13 , gift120
13 , b12 , g13 , gift94
14 , b12 , g13 , gift143
15 , b12 , g13 , gift87
16 , b12 , g13 , gift34
17 , b12 , g13 , gift19
18 , b12 , g13 , gift116
19 , b12 , g13 , gift122
20 , b12 , g13 , gift47
21 , b12 , g13 , gift40
22 , b12 , g13 , gift93
23 , b12 , g13 , gift64
24 , b12 , g13 , gift89
25 , b12 , g13 , gift165
26 , b12 , g13 , gift66
27 , b12 , g13 , gift123
28 , b12 , g13 , gift2
29 , b12 , g13 , gift197
30 , b12 , g13 , gift27
31 , b12 , g13 , gift41
32 , b12 , g13 , gift22
33 , b12 , g13 , gift126
34 , b12 , g13 , gift188
35 , b12 , g13 , gift125
36 , b12 , g13 , gift100
37 , b12 , g13 , gift99
38 , b12 , g13 , gift198
39 , b12 , g13 , gift161
40 , b12 , g13 , gift134
41 , b12 , g13 , gift189
42 , b12 , g13 , gift80
43 , b12 , g13 , gift152
